,County,State,fips,merged_fips,,PAPercent,Year
1497,"Camden, MO",Missouri,29029,29029,29029-2005,77.175,2005
1498,"Cape Girardeau, MO",Missouri,29031,29031,29031-2005,76.365,2005
1499,"Carroll, MO",Missouri,29033,29033,29033-2005,72.945,2005
1500,"Carter, MO",Missouri,29035,29035,29035-2005,68.025,2005
1501,"Cass, MO",Missouri,29037,29037,29037-2005,76.45,2005
1502,"Cedar, MO",Missouri,29039,29039,29039-2005,72.175,2005
1503,"Chariton, MO",Missouri,29041,29041,29041-2005,73.655,2005
1504,"Christian, MO",Missouri,29043,29043,29043-2005,77.135,2005
1505,"Clark, MO",Missouri,29045,29045,29045-2005,72.725,2005
1506,"Clay, MO",Missouri,29047,29047,29047-2005,76.14,2005
1507,"Clinton, MO",Missouri,29049,29049,29049-2005,72.64,2005
1508,"Cole, MO",Missouri,29051,29051,29051-2005,79.705,2005
1509,"Cooper, MO",Missouri,29053,29053,29053-2005,74.35,2005
1510,"Crawford, MO",Missouri,29055,29055,29055-2005,70.025,2005
1511,"Dade, MO",Missouri,29057,29057,29057-2005,72.155,2005
1512,"Dallas, MO",Missouri,29059,29059,29059-2005,70.125,2005
1513,"Daviess, MO",Missouri,29061,29061,29061-2005,69.93,2005
1514,"DeKalb, MO",Missouri,29063,29063,29063-2005,69.205,2005
1515,"Dent, MO",Missouri,29065,29065,29065-2005,69.815,2005
1516,"Douglas, MO",Missouri,29067,29067,29067-2005,69.58,2005
1517,"Dunklin, MO",Missouri,29069,29069,29069-2005,61.485,2005
1518,"Franklin, MO",Missouri,29071,29071,29071-2005,75.405,2005
1519,"Gasconade, MO",Missouri,29073,29073,29073-2005,73.975,2005
1520,"Gentry, MO",Missouri,29075,29075,29075-2005,71.665,2005
1521,"Greene, MO",Missouri,29077,29077,29077-2005,77.18,2005
1522,"Grundy, MO",Missouri,29079,29079,29079-2005,71.495,2005
1523,"Harrison, MO",Missouri,29081,29081,29081-2005,71.92,2005
1524,"Henry, MO",Missouri,29083,29083,29083-2005,71.295,2005
1525,"Hickory, MO",Missouri,29085,29085,29085-2005,70.685,2005
1526,"Holt, MO",Missouri,29087,29087,29087-2005,73.205,2005
1527,"Howard, MO",Missouri,29089,29089,29089-2005,75.835,2005
1528,"Howell, MO",Missouri,29091,29091,29091-2005,72.15,2005
1529,"Iron, MO",Missouri,29093,29093,29093-2005,67.59,2005
1530,"Jackson, MO",Missouri,29095,29095,29095-2005,75.02,2005
1531,"Jasper, MO",Missouri,29097,29097,29097-2005,73.17,2005
1532,"Jefferson, MO",Missouri,29099,29099,29099-2005,74.85,2005
1533,"Johnson, MO",Missouri,29101,29101,29101-2005,76.36,2005
1534,"Knox, MO",Missouri,29103,29103,29103-2005,73.23,2005
1535,"Laclede, MO",Missouri,29105,29105,29105-2005,70.245,2005
1536,"Lafayette, MO",Missouri,29107,29107,29107-2005,74.5,2005
1537,"Lawrence, MO",Missouri,29109,29109,29109-2005,72.585,2005
1538,"Lewis, MO",Missouri,29111,29111,29111-2005,70.64,2005
1539,"Lincoln, MO",Missouri,29113,29113,29113-2005,73.94,2005
1540,"Linn, MO",Missouri,29115,29115,29115-2005,73.015,2005
1541,"Livingston, MO",Missouri,29117,29117,29117-2005,72.975,2005
1542,"McDonald, MO",Missouri,29119,29119,29119-2005,67.725,2005
1543,"Macon, MO",Missouri,29121,29121,29121-2005,73.455,2005
1544,"Madison, MO",Missouri,29123,29123,29123-2005,68.06,2005
1545,"Maries, MO",Missouri,29125,29125,29125-2005,72.465,2005
1546,"Marion, MO",Missouri,29127,29127,29127-2005,72.23,2005
1547,"Mercer, MO",Missouri,29129,29129,29129-2005,74.32,2005
1548,"Miller, MO",Missouri,29131,29131,29131-2005,73.38,2005
1549,"Mississippi, MO",Missouri,29133,29133,29133-2005,61.305,2005
1550,"Moniteau, MO",Missouri,29135,29135,29135-2005,74.02,2005
1551,"Monroe, MO",Missouri,29137,29137,29137-2005,73.845,2005
1552,"Montgomery, MO",Missouri,29139,29139,29139-2005,71.82,2005
1553,"Morgan, MO",Missouri,29141,29141,29141-2005,70.08,2005
1554,"New Madrid, MO",Missouri,29143,29143,29143-2005,61.52,2005
1555,"Newton, MO",Missouri,29145,29145,29145-2005,74.09,2005
1556,"Nodaway, MO",Missouri,29147,29147,29147-2005,76.3,2005
1557,"Oregon, MO",Missouri,29149,29149,29149-2005,70.515,2005
1558,"Osage, MO",Missouri,29151,29151,29151-2005,75.725,2005
1559,"Ozark, MO",Missouri,29153,29153,29153-2005,69.385,2005
1560,"Pemiscot, MO",Missouri,29155,29155,29155-2005,59.705,2005
1561,"Perry, MO",Missouri,29157,29157,29157-2005,72.435,2005
1562,"Pettis, MO",Missouri,29159,29159,29159-2005,73.42,2005
1563,"Phelps, MO",Missouri,29161,29161,29161-2005,74.75,2005
1564,"Pike, MO",Missouri,29163,29163,29163-2005,73.045,2005
1565,"Platte, MO",Missouri,29165,29165,29165-2005,78.17,2005
1566,"Polk, MO",Missouri,29167,29167,29167-2005,71.245,2005
1567,"Pulaski, MO",Missouri,29169,29169,29169-2005,75.685,2005
1568,"Putnam, MO",Missouri,29171,29171,29171-2005,73.45,2005
1569,"Ralls, MO",Missouri,29173,29173,29173-2005,74.565,2005
1570,"Randolph, MO",Missouri,29175,29175,29175-2005,73.435,2005
1571,"Ray, MO",Missouri,29177,29177,29177-2005,71.7,2005
1572,"Reynolds, MO",Missouri,29179,29179,29179-2005,66.675,2005
1573,"Ripley, MO",Missouri,29181,29181,29181-2005,63.85,2005
1574,"St. Charles, MO",Missouri,29183,29183,29183-2005,80.37,2005
1575,"St. Clair, MO",Missouri,29185,29185,29185-2005,69.675,2005
1576,"St. Genevieve, MO",Missouri,29186,29186,29186-2005,73.875,2005
1577,"St. Francois, MO",Missouri,29187,29187,29187-2005,72.465,2005
1578,"St. Louis, MO",Missouri,29189,29189,29189-2005,80.505,2005
1579,"Saline, MO",Missouri,29195,29195,29195-2005,72.46,2005
1580,"Schuyler, MO",Missouri,29197,29197,29197-2005,74.335,2005
1581,"Scotland, MO",Missouri,29199,29199,29199-2005,70.945,2005
1582,"Scott, MO",Missouri,29201,29201,29201-2005,66.495,2005
1583,"Shannon, MO",Missouri,29203,29203,29203-2005,67.755,2005
1584,"Shelby, MO",Missouri,29205,29205,29205-2005,72.85,2005
1585,"Stoddard, MO",Missouri,29207,29207,29207-2005,65.465,2005
1586,"Stone, MO",Missouri,29209,29209,29209-2005,73.895,2005
1587,"Sullivan, MO",Missouri,29211,29211,29211-2005,68.995,2005
1588,"Taney, MO",Missouri,29213,29213,29213-2005,75.14,2005
1589,"Texas, MO",Missouri,29215,29215,29215-2005,69.71,2005
1590,"Vernon, MO",Missouri,29217,29217,29217-2005,71.76,2005
1591,"Warren, MO",Missouri,29219,29219,29219-2005,75.05,2005
1592,"Washington, MO",Missouri,29221,29221,29221-2005,64.91,2005
1593,"Wayne, MO",Missouri,29223,29223,29223-2005,62.91,2005
1594,"Webster, MO",Missouri,29225,29225,29225-2005,71.485,2005
1595,"Worth, MO",Missouri,29227,29227,29227-2005,71.985,2005
1596,"Wright, MO",Missouri,29229,29229,29229-2005,68.035,2005
1597,"St. Louis City, MO",Missouri,29510,29510,29510-2005,72.28,2005
1598,"Beaverhead, MT",Montana,30001,30001,30001-2005,79.115,2005
1599,"Big Horn, MT",Montana,30003,30003,30003-2005,71.495,2005
1600,"Blaine, MT",Montana,30005,30005,30005-2005,70.775,2005
1601,"Broadwater, MT",Montana,30007,30007,30007-2005,79.185,2005
1602,"Carbon, MT",Montana,30009,30009,30009-2005,78.785,2005
1603,"Carter, MT",Montana,30011,30011,30011-2005,76.055,2005
1604,"Cascade, MT",Montana,30013,30013,30013-2005,78.815,2005
1605,"Chouteau, MT",Montana,30015,30015,30015-2005,76.685,2005
1606,"Custer, MT",Montana,30017,30017,30017-2005,77.335,2005
1607,"Daniels, MT",Montana,30019,30019,30019-2005,78.085,2005
1608,"Dawson, MT",Montana,30021,30021,30021-2005,76.13,2005
1609,"Deer Lodge, MT",Montana,30023,30023,30023-2005,76.525,2005
1610,"Fallon, MT",Montana,30025,30025,30025-2005,76.36,2005
1611,"Fergus, MT",Montana,30027,30027,30027-2005,78.38,2005
1612,"Flathead, MT",Montana,30029,30029,30029-2005,82.655,2005
1613,"Gallatin County and Yellowstone National Park, MT",Montana,30031,30031,30031-2005,85.175,2005
1614,"Garfield, MT",Montana,30033,30033,30033-2005,75.99,2005
1615,"Glacier, MT",Montana,30035,30035,30035-2005,72.89,2005
1616,"Golden Valley, MT",Montana,30037,30037,30037-2005,75.455,2005
1617,"Granite, MT",Montana,30039,30039,30039-2005,80.255,2005
1618,"Hill, MT",Montana,30041,30041,30041-2005,77.125,2005
1619,"Jefferson, MT",Montana,30043,30043,30043-2005,80.915,2005
1620,"Judith Basin, MT",Montana,30045,30045,30045-2005,78.55,2005
1621,"Lake, MT",Montana,30047,30047,30047-2005,79.87,2005
1622,"Lewis and Clark, MT",Montana,30049,30049,30049-2005,81.32,2005
1623,"Liberty, MT",Montana,30051,30051,30051-2005,69.475,2005
1624,"Lincoln, MT",Montana,30053,30053,30053-2005,77.475,2005
1625,"McCone, MT",Montana,30055,30055,30055-2005,77.03,2005
1626,"Madison, MT",Montana,30057,30057,30057-2005,80.315,2005
1627,"Meagher, MT",Montana,30059,30059,30059-2005,75.54,2005
1628,"Mineral, MT",Montana,30061,30061,30061-2005,76.22,2005
1629,"Missoula, MT",Montana,30063,30063,30063-2005,84.355,2005
1630,"Musselshell, MT",Montana,30065,30065,30065-2005,75.515,2005
1631,"Park, MT",Montana,30067,30067,30067-2005,79.975,2005
1632,"Petroleum, MT",Montana,30069,30069,30069-2005,76.4,2005
1633,"Phillips, MT",Montana,30071,30071,30071-2005,74.505,2005
1634,"Pondera, MT",Montana,30073,30073,30073-2005,76.03,2005
1635,"Powder River, MT",Montana,30075,30075,30075-2005,76.7,2005
1636,"Powell, MT",Montana,30077,30077,30077-2005,79.545,2005
1637,"Prairie, MT",Montana,30079,30079,30079-2005,73.705,2005
1638,"Ravalli, MT",Montana,30081,30081,30081-2005,82.27,2005
1639,"Richland, MT",Montana,30083,30083,30083-2005,74.375,2005
1640,"Roosevelt, MT",Montana,30085,30085,30085-2005,71.23,2005
1641,"Rosebud, MT",Montana,30087,30087,30087-2005,73.285,2005
1642,"Sanders, MT",Montana,30089,30089,30089-2005,76.925,2005
1643,"Sheridan, MT",Montana,30091,30091,30091-2005,73.105,2005
1644,"Silver Bow, MT",Montana,30093,30093,30093-2005,76.9,2005
1645,"Stillwater, MT",Montana,30095,30095,30095-2005,78.94,2005
1646,"Sweet Grass, MT",Montana,30097,30097,30097-2005,78.79,2005
1647,"Teton, MT",Montana,30099,30099,30099-2005,76.815,2005
1648,"Toole, MT",Montana,30101,30101,30101-2005,75.39,2005
1649,"Treasure, MT",Montana,30103,30103,30103-2005,76.495,2005
1650,"Valley, MT",Montana,30105,30105,30105-2005,76.41,2005
1651,"Wheatland, MT",Montana,30107,30107,30107-2005,75.12,2005
1652,"Wibaux, MT",Montana,30109,30109,30109-2005,71.535,2005
1653,"Yellowstone, MT",Montana,30111,30111,30111-2005,79.565,2005
1654,"Adams, NE",Nebraska,31001,31001,31001-2005,78.635,2005
1655,"Antelope, NE",Nebraska,31003,31003,31003-2005,76.155,2005
1656,"Arthur, NE",Nebraska,31005,31005,31005-2005,78.855,2005
1657,"Banner, NE",Nebraska,31007,31007,31007-2005,79.37,2005
1658,"Blaine, NE",Nebraska,31009,31009,31009-2005,77.52,2005
1659,"Boone, NE",Nebraska,31011,31011,31011-2005,78.34,2005
1660,"Box Butte, NE",Nebraska,31013,31013,31013-2005,78.655,2005
1661,"Boyd, NE",Nebraska,31015,31015,31015-2005,76.88,2005
1662,"Brown, NE",Nebraska,31017,31017,31017-2005,75.83,2005
1663,"Buffalo, NE",Nebraska,31019,31019,31019-2005,77.445,2005
1664,"Burt, NE",Nebraska,31021,31021,31021-2005,77.13,2005
1665,"Butler, NE",Nebraska,31023,31023,31023-2005,78.715,2005
1666,"Cass, NE",Nebraska,31025,31025,31025-2005,80.83,2005
1667,"Cedar, NE",Nebraska,31027,31027,31027-2005,77.625,2005
1668,"Chase, NE",Nebraska,31029,31029,31029-2005,76.81,2005
1669,"Cherry, NE",Nebraska,31031,31031,31031-2005,78.03,2005
1670,"Cheyenne, NE",Nebraska,31033,31033,31033-2005,79.735,2005
1671,"Clay, NE",Nebraska,31035,31035,31035-2005,77.66,2005
1672,"Colfax, NE",Nebraska,31037,31037,31037-2005,69.265,2005
1673,"Cuming, NE",Nebraska,31039,31039,31039-2005,76.215,2005
1674,"Custer, NE",Nebraska,31041,31041,31041-2005,78.225,2005
1675,"Dakota, NE",Nebraska,31043,31043,31043-2005,69.435,2005
1676,"Dawes, NE",Nebraska,31045,31045,31045-2005,80.89,2005
1677,"Dawson, NE",Nebraska,31047,31047,31047-2005,69.685,2005
1678,"Deuel, NE",Nebraska,31049,31049,31049-2005,78.29,2005
1679,"Dixon, NE",Nebraska,31051,31051,31051-2005,76.445,2005
1680,"Dodge, NE",Nebraska,31053,31053,31053-2005,76.8,2005
1681,"Douglas, NE",Nebraska,31055,31055,31055-2005,78.26,2005
1682,"Dundy, NE",Nebraska,31057,31057,31057-2005,75.055,2005
1683,"Fillmore, NE",Nebraska,31059,31059,31059-2005,78.72,2005
1684,"Franklin, NE",Nebraska,31061,31061,31061-2005,75.49,2005
1685,"Frontier, NE",Nebraska,31063,31063,31063-2005,77.535,2005
1686,"Furnas, NE",Nebraska,31065,31065,31065-2005,75.3,2005
1687,"Gage, NE",Nebraska,31067,31067,31067-2005,77.15,2005
1688,"Garden, NE",Nebraska,31069,31069,31069-2005,77.345,2005
1689,"Garfield, NE",Nebraska,31071,31071,31071-2005,75.92,2005
1690,"Gosper, NE",Nebraska,31073,31073,31073-2005,78.22,2005
1691,"Grant, NE",Nebraska,31075,31075,31075-2005,79.9,2005
1692,"Greeley, NE",Nebraska,31077,31077,31077-2005,76.8,2005
1693,"Hall, NE",Nebraska,31079,31079,31079-2005,73.655,2005
1694,"Hamilton, NE",Nebraska,31081,31081,31081-2005,79.695,2005
1695,"Harlan, NE",Nebraska,31083,31083,31083-2005,75.76,2005
1696,"Hayes, NE",Nebraska,31085,31085,31085-2005,75.37,2005
1697,"Hitchcock, NE",Nebraska,31087,31087,31087-2005,74.72,2005
1698,"Holt, NE",Nebraska,31089,31089,31089-2005,74.27,2005
1699,"Hooker, NE",Nebraska,31091,31091,31091-2005,78.665,2005
1700,"Howard, NE",Nebraska,31093,31093,31093-2005,75.525,2005
1701,"Jefferson, NE",Nebraska,31095,31095,31095-2005,77.405,2005
1702,"Johnson, NE",Nebraska,31097,31097,31097-2005,74.755,2005
1703,"Kearney, NE",Nebraska,31099,31099,31099-2005,79.205,2005
1704,"Keith, NE",Nebraska,31101,31101,31101-2005,76.85,2005
1705,"Keya Paha, NE",Nebraska,31103,31103,31103-2005,75.07,2005
1706,"Kimball, NE",Nebraska,31105,31105,31105-2005,76.51,2005
1707,"Knox, NE",Nebraska,31107,31107,31107-2005,76.095,2005
1708,"Lancaster, NE",Nebraska,31109,31109,31109-2005,82.435,2005
1709,"Lincoln, NE",Nebraska,31111,31111,31111-2005,79.105,2005
1710,"Logan, NE",Nebraska,31113,31113,31113-2005,80.425,2005
1711,"Loup, NE",Nebraska,31115,31115,31115-2005,78.97,2005
1712,"McPherson, NE",Nebraska,31117,31117,31117-2005,75.685,2005
1713,"Madison, NE",Nebraska,31119,31119,31119-2005,77.445,2005
1714,"Merrick, NE",Nebraska,31121,31121,31121-2005,76.895,2005
1715,"Morrill, NE",Nebraska,31123,31123,31123-2005,74.86,2005
1716,"Nance, NE",Nebraska,31125,31125,31125-2005,74.205,2005
1717,"Nemaha, NE",Nebraska,31127,31127,31127-2005,76.97,2005
1718,"Nuckolls, NE",Nebraska,31129,31129,31129-2005,77.8,2005
1719,"Otoe, NE",Nebraska,31131,31131,31131-2005,78.39,2005
1720,"Pawnee, NE",Nebraska,31133,31133,31133-2005,75.77,2005
1721,"Perkins, NE",Nebraska,31135,31135,31135-2005,77.905,2005
1722,"Phelps, NE",Nebraska,31137,31137,31137-2005,76.115,2005
1723,"Pierce, NE",Nebraska,31139,31139,31139-2005,76.02,2005
1724,"Platte, NE",Nebraska,31141,31141,31141-2005,80.195,2005
1725,"Polk, NE",Nebraska,31143,31143,31143-2005,79.56,2005
1726,"Red Willow, NE",Nebraska,31145,31145,31145-2005,77.93,2005
1727,"Richardson, NE",Nebraska,31147,31147,31147-2005,73.925,2005
1728,"Rock, NE",Nebraska,31149,31149,31149-2005,75.26,2005
1729,"Saline, NE",Nebraska,31151,31151,31151-2005,76.945,2005
1730,"Sarpy, NE",Nebraska,31153,31153,31153-2005,81.795,2005
1731,"Saunders, NE",Nebraska,31155,31155,31155-2005,77.99,2005
1732,"Scotts Bluff, NE",Nebraska,31157,31157,31157-2005,77.14,2005
1733,"Seward, NE",Nebraska,31159,31159,31159-2005,81.92,2005
1734,"Sheridan, NE",Nebraska,31161,31161,31161-2005,77.825,2005
1735,"Sherman, NE",Nebraska,31163,31163,31163-2005,75.595,2005
1736,"Sioux, NE",Nebraska,31165,31165,31165-2005,79.835,2005
1737,"Stanton, NE",Nebraska,31167,31167,31167-2005,79.06,2005
1738,"Thayer, NE",Nebraska,31169,31169,31169-2005,75.825,2005
1739,"Thomas, NE",Nebraska,31171,31171,31171-2005,77.695,2005
1740,"Thurston, NE",Nebraska,31173,31173,31173-2005,71.895,2005
1741,"Valley, NE",Nebraska,31175,31175,31175-2005,77.285,2005
1742,"Washington, NE",Nebraska,31177,31177,31177-2005,78.16,2005
1743,"Wayne, NE",Nebraska,31179,31179,31179-2005,78.62,2005
1744,"Webster, NE",Nebraska,31181,31181,31181-2005,74.99,2005
1745,"Wheeler, NE",Nebraska,31183,31183,31183-2005,80.055,2005
1746,"York, NE",Nebraska,31185,31185,31185-2005,79.415,2005
1747,"Churchill, NV",Nevada,32001,32001,32001-2005,79.15,2005
1748,"Clark, NV",Nevada,32003,32003,32003-2005,74.015,2005
1749,"Douglas, NV",Nevada,32005,32005,32005-2005,84.33,2005
1750,"Elko, NV",Nevada,32007,32007,32007-2005,73.305,2005
1751,"Esmeralda, NV",Nevada,32009,32009,32009-2005,74.21,2005
1752,"Eureka, NV",Nevada,32011,32011,32011-2005,75.58,2005
1753,"Humboldt, NV",Nevada,32013,32013,32013-2005,75.845,2005
1754,"Lander, NV",Nevada,32015,32015,32015-2005,70.46,2005
1755,"Lincoln, NV",Nevada,32017,32017,32017-2005,74.63,2005
1756,"Lyon, NV",Nevada,32019,32019,32019-2005,77.225,2005
1757,"Mineral, NV",Nevada,32021,32021,32021-2005,75.385,2005
1758,"Nye, NV",Nevada,32023,32023,32023-2005,72.475,2005
1759,"Pershing, NV",Nevada,32027,32027,32027-2005,74.255,2005
1760,"Storey, NV",Nevada,32029,32029,32029-2005,79.37,2005
1761,"Washoe, NV",Nevada,32031,32031,32031-2005,81.855,2005
1762,"White Pine, NV",Nevada,32033,32033,32033-2005,75.79,2005
1763,"Carson City, NV",Nevada,32510,32510,32510-2005,78.92,2005
1764,"Belknap, NH",New Hampshire,33001,33001,33001-2005,80.55,2005
1765,"Carroll, NH",New Hampshire,33003,33003,33003-2005,80.22,2005
1766,"Cheshire, NH",New Hampshire,33005,33005,33005-2005,81.45,2005
1767,"Coos, NH",New Hampshire,33007,33007,33007-2005,74.61,2005
1768,"Grafton, NH",New Hampshire,33009,33009,33009-2005,81.82,2005
1769,"Hillsborough, NH",New Hampshire,33011,33011,33011-2005,79.27,2005
1770,"Merrimack, NH",New Hampshire,33013,33013,33013-2005,82.085,2005
1771,"Rockingham, NH",New Hampshire,33015,33015,33015-2005,81.42,2005
1772,"Strafford, NH",New Hampshire,33017,33017,33017-2005,78.49,2005
1773,"Sullivan, NH",New Hampshire,33019,33019,33019-2005,80.16,2005
1774,"Atlantic, NJ",New Jersey,34001,34001,34001-2005,73.375,2005
1775,"Bergen, NJ",New Jersey,34003,34003,34003-2005,78.3,2005
1776,"Burlington, NJ",New Jersey,34005,34005,34005-2005,77.015,2005
1777,"Camden, NJ",New Jersey,34007,34007,34007-2005,72.93,2005
1778,"Cape May, NJ",New Jersey,34009,34009,34009-2005,77.72,2005
1779,"Cumberland, NJ",New Jersey,34011,34011,34011-2005,66.055,2005
1780,"Essex, NJ",New Jersey,34013,34013,34013-2005,70.975,2005
1781,"Gloucester, NJ",New Jersey,34015,34015,34015-2005,74.73,2005
1782,"Hudson, NJ",New Jersey,34017,34017,34017-2005,66.655,2005
1783,"Hunterdon, NJ",New Jersey,34019,34019,34019-2005,82.775,2005
1784,"Mercer, NJ",New Jersey,34021,34021,34021-2005,77.65,2005
1785,"Middlesex, NJ",New Jersey,34023,34023,34023-2005,74.975,2005
1786,"Monmouth, NJ",New Jersey,34025,34025,34025-2005,78.27,2005
1787,"Morris, NJ",New Jersey,34027,34027,34027-2005,79.625,2005
1788,"Ocean, NJ",New Jersey,34029,34029,34029-2005,74.185,2005
1789,"Passaic, NJ",New Jersey,34031,34031,34031-2005,68.31,2005
1790,"Salem, NJ",New Jersey,34033,34033,34033-2005,71.52,2005
1791,"Somerset, NJ",New Jersey,34035,34035,34035-2005,79.42,2005
1792,"Sussex, NJ",New Jersey,34037,34037,34037-2005,77.92,2005
1793,"Union, NJ",New Jersey,34039,34039,34039-2005,72.555,2005
1794,"Warren, NJ",New Jersey,34041,34041,34041-2005,75.71,2005
1795,"Bernalillo, NM",New Mexico,35001,35001,35001-2005,81.485,2005
1796,"Catron, NM",New Mexico,35003,35003,35003-2005,76.49,2005
1797,"Chaves, NM",New Mexico,35005,35005,35005-2005,69.56,2005
1798,"Cibola, NM",New Mexico,35006,35006,35006-2005,74.35,2005
1799,"Colfax, NM",New Mexico,35007,35007,35007-2005,75.405,2005
1800,"Curry, NM",New Mexico,35009,35009,35009-2005,72.235,2005
1801,"De Baca, NM",New Mexico,35011,35011,35011-2005,70.405,2005
1802,"Dona Ana, NM",New Mexico,35013,35013,35013-2005,73.12,2005
1803,"Eddy, NM",New Mexico,35015,35015,35015-2005,71.58,2005
1804,"Grant, NM",New Mexico,35017,35017,35017-2005,75.96,2005
1805,"Guadalupe, NM",New Mexico,35019,35019,35019-2005,73.14,2005
1806,"Harding, NM",New Mexico,35021,35021,35021-2005,74.31,2005
1807,"Hidalgo, NM",New Mexico,35023,35023,35023-2005,70.94,2005
1808,"Lea, NM",New Mexico,35025,35025,35025-2005,65.915,2005
1809,"Lincoln, NM",New Mexico,35027,35027,35027-2005,77.09,2005
1810,"Los Alamos, NM",New Mexico,35028,35028,35028-2005,87.565,2005
1811,"Luna, NM",New Mexico,35029,35029,35029-2005,64.755,2005
1812,"McKinley, NM",New Mexico,35031,35031,35031-2005,75.35,2005
1813,"Mora, NM",New Mexico,35033,35033,35033-2005,75.27,2005
1814,"Otero, NM",New Mexico,35035,35035,35035-2005,75.895,2005
1815,"Quay, NM",New Mexico,35037,35037,35037-2005,70.85,2005
1816,"Rio Arriba, NM",New Mexico,35039,35039,35039-2005,74.78,2005
1817,"Roosevelt, NM",New Mexico,35041,35041,35041-2005,68.305,2005
1818,"Sandoval, NM",New Mexico,35043,35043,35043-2005,80.515,2005
1819,"San Juan, NM",New Mexico,35045,35045,35045-2005,77.42,2005
1820,"San Miguel, NM",New Mexico,35047,35047,35047-2005,74.99,2005
1821,"Santa Fe, NM",New Mexico,35049,35049,35049-2005,82.97,2005
1822,"Sierra, NM",New Mexico,35051,35051,35051-2005,74,2005
1823,"Socorro, NM",New Mexico,35053,35053,35053-2005,73.76,2005
1824,"Taos, NM",New Mexico,35055,35055,35055-2005,78.7,2005
1825,"Torrance, NM",New Mexico,35057,35057,35057-2005,72.78,2005
1826,"Union, NM",New Mexico,35059,35059,35059-2005,73.885,2005
1827,"Valencia, NM",New Mexico,35061,35061,35061-2005,74.455,2005
1828,"Albany, NY",New York,36001,36001,36001-2005,78.275,2005
1829,"Allegany, NY",New York,36003,36003,36003-2005,76.15,2005
1830,"Bronx, NY",New York,36005,36005,36005-2005,65.105,2005
1831,"Broome, NY",New York,36007,36007,36007-2005,78.315,2005
1832,"Cattaraugus, NY",New York,36009,36009,36009-2005,75.46,2005
1833,"Cayuga, NY",New York,36011,36011,36011-2005,76.12,2005
1834,"Chautauqua, NY",New York,36013,36013,36013-2005,75.65,2005
1835,"Chemung, NY",New York,36015,36015,36015-2005,76.95,2005
1836,"Chenango, NY",New York,36017,36017,36017-2005,75.375,2005
1837,"Clinton, NY",New York,36019,36019,36019-2005,77.38,2005
1838,"Columbia, NY",New York,36021,36021,36021-2005,76.77,2005
1839,"Cortland, NY",New York,36023,36023,36023-2005,77.27,2005
1840,"Delaware, NY",New York,36025,36025,36025-2005,75.52,2005
1841,"Dutchess, NY",New York,36027,36027,36027-2005,78.18,2005
1842,"Erie, NY",New York,36029,36029,36029-2005,77.99,2005
1843,"Essex, NY",New York,36031,36031,36031-2005,77.97,2005
1844,"Franklin, NY",New York,36033,36033,36033-2005,74.23,2005
1845,"Fulton, NY",New York,36035,36035,36035-2005,74.455,2005
1846,"Genesee, NY",New York,36037,36037,36037-2005,77.77,2005
1847,"Greene, NY",New York,36039,36039,36039-2005,73.77,2005
1848,"Hamilton, NY",New York,36041,36041,36041-2005,77.14,2005
1849,"Herkimer, NY",New York,36043,36043,36043-2005,75.405,2005
1850,"Jefferson, NY",New York,36045,36045,36045-2005,75.185,2005
1851,"Kings, NY",New York,36047,36047,36047-2005,68.71,2005
1852,"Lewis, NY",New York,36049,36049,36049-2005,73.415,2005
1853,"Livingston, NY",New York,36051,36051,36051-2005,78.085,2005
1854,"Madison, NY",New York,36053,36053,36053-2005,76.765,2005
1855,"Monroe, NY",New York,36055,36055,36055-2005,79.585,2005
1856,"Montgomery, NY",New York,36057,36057,36057-2005,74.375,2005
1857,"Nassau, NY",New York,36059,36059,36059-2005,77.41,2005
1858,"New York, NY",New York,36061,36061,36061-2005,77.9,2005
1859,"Niagara, NY",New York,36063,36063,36063-2005,76.76,2005
1860,"Oneida, NY",New York,36065,36065,36065-2005,74.68,2005
1861,"Onondaga, NY",New York,36067,36067,36067-2005,78.665,2005
1862,"Ontario, NY",New York,36069,36069,36069-2005,81.11,2005
1863,"Orange, NY",New York,36071,36071,36071-2005,74.26,2005
1864,"Orleans, NY",New York,36073,36073,36073-2005,74.53,2005
1865,"Oswego, NY",New York,36075,36075,36075-2005,73.875,2005
1866,"Otsego, NY",New York,36077,36077,36077-2005,77.545,2005
1867,"Putnam, NY",New York,36079,36079,36079-2005,78.655,2005
1868,"Queens, NY",New York,36081,36081,36081-2005,71.56,2005
1869,"Rensselaer, NY",New York,36083,36083,36083-2005,78.38,2005
1870,"Richmond, NY",New York,36085,36085,36085-2005,75.05,2005
1871,"Rockland, NY",New York,36087,36087,36087-2005,76.22,2005
1872,"St. Lawrence, NY",New York,36089,36089,36089-2005,74.52,2005
1873,"Saratoga, NY",New York,36091,36091,36091-2005,81.5,2005
1874,"Schenectady, NY",New York,36093,36093,36093-2005,79.6,2005
1875,"Schoharie, NY",New York,36095,36095,36095-2005,75.385,2005
1876,"Schuyler, NY",New York,36097,36097,36097-2005,76.445,2005
1877,"Seneca, NY",New York,36099,36099,36099-2005,74.97,2005
1878,"Steuben, NY",New York,36101,36101,36101-2005,76.395,2005
1879,"Suffolk, NY",New York,36103,36103,36103-2005,76.24,2005
1880,"Sullivan, NY",New York,36105,36105,36105-2005,72.685,2005
1881,"Tioga, NY",New York,36107,36107,36107-2005,77.22,2005
1882,"Tompkins, NY",New York,36109,36109,36109-2005,81.375,2005
