FIPS,State,County,2007,2009,2011
5065,AR,Izard,0.153480163,0.230096641,0.298084805
5067,AR,Jackson,0.293444451,0.300156081,0.335833427
5069,AR,Jefferson,0.91924496,0.787751731,0.760695643
5071,AR,Johnson,0.645734119,0.680163239,0.543858286
5073,AR,Lafayette,0.259201659,0.26652452,0.266098989
5075,AR,Lawrence,0.415011561,0.236938751,0.349283968
5077,AR,Lee,0.280321435,0.290725846,0.290528762
5079,AR,Lincoln,0.292077401,0.147568804,0.071397972
5081,AR,Little River,0.387987895,0.23162446,0.307787011
5083,AR,Logan,0.573419787,0.537105004,0.403768506
5085,AR,Lonoke,0.566206886,0.569911664,0.562437807
5087,AR,Madison,0.257433389,0.125984252,0.190162272
5089,AR,Marion,0.481666566,0.361576473,0.362034635
5091,AR,Miller,0.606046479,0.551445246,0.571311045
5093,AR,Mississippi,0.772366445,0.686621607,0.630901101
5095,AR,Monroe,0.816993464,0.734304247,0.495356037
5097,AR,Montgomery,0.220555801,0.333000333,0.212021626
5099,AR,Nevada,0.428678598,0.327367962,0.332704891
5101,AR,Newton,0,0.122085215,0.242013553
5103,AR,Ouachita,0.537985628,0.550487575,0.42503864
5105,AR,Perry,0.193012932,0.096974399,0.288322922
5107,AR,Phillips,0.63883185,0.573586349,0.513011846
5109,AR,Pike,0.184706317,0.282299802,0.266453504
5111,AR,Poinsett,0.683252281,0.648245685,0.734274292
5113,AR,Polk,0.446938471,0.592329335,0.485201359
5115,AR,Pope,0.895361016,0.913408842,0.818212446
5117,AR,Prairie,0.567279328,0.582614775,0.464144813
5119,AR,Pulaski,0.837351197,0.864091499,0.880147243
5121,AR,Randolph,0.498891353,0.612745098,0.555031359
5123,AR,St. Francis,0.671942661,0.457055799,0.429031105
5125,AR,Saline,0.419326771,0.472604048,0.520424374
5127,AR,Scott,0.442712945,0.179807606,0.177430802
5129,AR,Searcy,0.372485721,0.503524673,0.49776008
5131,AR,Sebastian,0.788559319,0.83335356,0.700087314
5133,AR,Sevier,0.244259893,0.473260767,0.346961198
5135,AR,Sharp,0.845642124,0.566123188,0.517836594
5137,AR,Stone,0.503736042,0.667167042,0.714115687
5139,AR,Union,0.62888687,0.560983591,0.57933232
5141,AR,Van Buren,0.485997206,0.304543793,0.292688638
5143,AR,Washington,0.688252455,0.774299259,0.771006308
5145,AR,White,0.638006163,0.641882156,0.639656121
5147,AR,Woodruff,0.522193211,0.407664085,0.414995158
5149,AR,Yell,0.411861614,0.444523471,0.498640073
6001,CA,Alameda,0.767415219,0.718748198,0.71247651
6003,CA,Alpine,1.748251748,1.921229587,1.814882033
6005,CA,Amador,0.467775468,0.448833034,0.316180539
6007,CA,Butte,0.684299236,0.680034636,0.667374901
6009,CA,Calaveras,0.576282763,0.513577711,0.577110894
6011,CA,Colusa,0.568720379,0.562825383,0.742493851
6013,CA,Contra Costa,0.61551128,0.583900107,0.561863097
6015,CA,Del Norte,0.487024282,0.549563784,0.523395792
6017,CA,El Dorado,0.677090446,0.616429528,0.536095237
6019,CA,Fresno,0.607941674,0.615121052,0.603454859
6021,CA,Glenn,0.646041203,0.530054066,0.42662116
6023,CA,Humboldt,0.700040447,0.655747823,0.704951729
6025,CA,Imperial,0.623573575,0.497381258,0.457479795
6027,CA,Inyo,0.917536415,0.809576129,0.703539344
6029,CA,Kern,0.649940677,0.648991153,0.619929319
6031,CA,Kings,0.508054355,0.5243204,0.58530875
6033,CA,Lake,0.541426892,0.444247001,0.466396157
6035,CA,Lassen,0.428510213,0.348098512,0.380116959
6037,CA,Los Angeles,0.737053968,0.722785545,0.729189925
6039,CA,Madera,0.468245388,0.437321707,0.490436488
6041,CA,Marin,0.723283218,0.654037886,0.670506723
6043,CA,Mariposa,0.612369871,0.449640288,0.494750151
6045,CA,Mendocino,0.759700795,0.662482566,0.593925965
6047,CA,Merced,0.493658545,0.509536485,0.488653241
6049,CA,Modoc,0.659340659,0.439222576,0.735525901
6051,CA,Mono,1.481481481,1.237719502,1.257949542
6053,CA,Monterey,0.609276925,0.562906645,0.583079322
6055,CA,Napa,0.530507999,0.556999629,0.550373675
6057,CA,Nevada,0.546718657,0.552424016,0.537459944
6059,CA,Orange,0.856012133,0.834548594,0.842675027
6061,CA,Placer,0.879862597,0.817668526,0.767210434
6063,CA,Plumas,0.776472872,0.695755889,0.657728308
6065,CA,Riverside,0.618699913,0.609756098,0.594297247
6067,CA,Sacramento,0.728021928,0.691674001,0.652459256
6069,CA,San Benito,0.587102101,0.508554615,0.463689542
6071,CA,San Bernardino,0.671855188,0.665122644,0.651697003
6073,CA,San Diego,0.795454851,0.763640496,0.747754269
6075,CA,San Francisco,0.928445854,0.933332352,0.926397532
6077,CA,San Joaquin,0.665919074,0.592715526,0.57597233
6079,CA,San Luis Obispo,0.89031203,0.820313817,0.805238832
6081,CA,San Mateo,0.708407245,0.696811773,0.688935368
6083,CA,Santa Barbara,0.73408423,0.741910838,0.66998065
6085,CA,Santa Clara,0.740170552,0.718351356,0.711846834
6087,CA,Santa Cruz,0.619687677,0.651788711,0.64699695
6089,CA,Shasta,0.83085193,0.723361255,0.748140898
6091,CA,Sierra,0.603864734,0.315059861,0.321233537
6093,CA,Siskiyou,0.65578219,0.761751131,0.651582897
6095,CA,Solano,0.716759361,0.690020971,0.648304444
6097,CA,Sonoma,0.693505323,0.590973984,0.559293283
6099,CA,Stanislaus,0.633872487,0.615221842,0.630638623
6101,CA,Sutter,0.612041925,0.583065195,0.537300224
6103,CA,Tehama,0.510170496,0.556118944,0.53458279
6105,CA,Trinity,0.861264624,1.058948112,0.874444363
6107,CA,Tulare,0.449315095,0.470130426,0.478572208
6109,CA,Tuolumne,0.59266177,0.525600362,0.564118428
6111,CA,Ventura,0.723085943,0.678719226,0.664846454
6113,CA,Yolo,0.701349066,0.692051934,0.682985736
6115,CA,Yuba,0.390526932,0.411381556,0.427126678
8001,CO,Adams,0.624393778,0.612253228,0.591436793
8003,CO,Alamosa,0.915212133,0.907676349,0.827498409
8005,CO,Arapahoe,0.807855521,0.7641149,0.765880044
8007,CO,Archuleta,0.881480888,0.884955752,0.665945226
8009,CO,Baca,0.78125,0.537201182,0.263504611
8011,CO,Bent,0.172860847,0.304878049,0.16
8013,CO,Boulder,0.889442019,0.790821202,0.851765995
8014,CO,Broomfield,1.136702445,1.0537596,1.168224299
8014,CO,Broomfield,1.136702445,1.0537596,1.168224299
8015,CO,Chaffee,1.423656424,1.457216134,1.226857015
8017,CO,Cheyenne,0,0,0.533049041
8019,CO,Clear Creek,0.895555804,1.033769814,1.109631602
8021,CO,Conejos,0.249812641,0.127485977,0.120612713
8023,CO,Costilla,0,0,0
8025,CO,Crowley,0,0,0
8027,CO,Custer,0.756811302,0.5,0.713436385
8029,CO,Delta,0.562559979,0.351190856,0.394075728
8031,CO,Denver,0.903610815,0.820847226,0.871012697
8033,CO,Dolores,0.529380625,0,0
8035,CO,Douglas,0.636134655,0.617573077,0.667426506
8037,CO,Eagle,0.929441544,0.820084618,0.82925136
8039,CO,Elbert,0.132251807,0.128827243,0.258910848
8041,CO,El Paso,0.717313558,0.674891075,0.668798659
8043,CO,Fremont,0.422475708,0.334623026,0.380171922
8045,CO,Garfield,0.774096101,0.781555295,0.710858361
8047,CO,Gilpin,0,0,0
8049,CO,Grand,1.104972376,1.006397815,1.099807534
8051,CO,Gunnison,0.867360555,0.846905537,0.649013499
8053,CO,Hinsdale,1.199040767,1.218026797,0
8055,CO,Huerfano,0.519143413,0.26462027,0.306748466
8057,CO,Jackson,0,0,0
8059,CO,Jefferson,0.713480041,0.715187681,0.698298153
8061,CO,Kiowa,0,0,0
8063,CO,Kit Carson,0.635243298,0.714115687,0.736919676
8065,CO,Lake,1.018589254,0.994282873,0.673219335
8067,CO,La Plata,0.744946444,0.680087051,0.674152975
8069,CO,Larimer,0.853875724,0.817743698,0.801898372
8071,CO,Las Animas,0.442617768,0.74906367,0.798031522
8073,CO,Lincoln,0.381170192,0.386922035,0.366703337
8075,CO,Logan,0.621771571,0.67398421,0.486316813
8077,CO,Mesa,0.744817014,0.677650538,0.700284873
8079,CO,Mineral,0,0,1.412429379
8081,CO,Moffat,0.442641092,0.429184549,0.29737566
8083,CO,Montezuma,0.557591206,0.512456638,0.471661033
8085,CO,Montrose,0.557639663,0.482951801,0.463290337
8087,CO,Morgan,0.617015099,0.466786355,0.354924579
8089,CO,Otero,0.641505399,0.642742367,0.636098595
8091,CO,Ouray,1.590909091,1.303780965,1.836547291
8093,CO,Park,0.47158689,0.477270016,0.310771334
8095,CO,Phillips,0.671291117,0.447227191,0.454648784
8097,CO,Pitkin,1.324591033,1.433647073,1.461817331
8099,CO,Prowers,1.076426265,0.847327068,0.796876245
8101,CO,Pueblo,0.641407728,0.705999084,0.691394936
8103,CO,Rio Blanco,0.968054211,0.61218243,0.58979652
8105,CO,Rio Grande,0.430255572,0.518089975,0.334560054
8107,CO,Routt,1.119068935,1.022625591,0.946684453
8109,CO,Saguache,0.291375291,0.140904608,0
8111,CO,San Juan,6.968641115,7.207207207,5.780346821
8113,CO,San Miguel,1.876927202,1.852341889,2.269692924
8115,CO,Sedgwick,0.429184549,0.429922614,0.423011844
8117,CO,Summit,1.372265,1.541906825,1.573001573
8119,CO,Teller,0.597728631,0.645607563,0.556602158
8121,CO,Washington,0.217533174,0.226244344,0.419287212
8123,CO,Weld,0.524251806,0.51421147,0.494900208
8125,CO,Yuma,0.835073069,0.410930758,0.297029703
9001,CT,Fairfield,0.619750817,0.58255142,0.618857996
9003,CT,Hartford,0.610909191,0.58988333,0.600197831
9005,CT,Litchfield,0.445706099,0.360306897,0.39197199
9007,CT,Middlesex,0.640111196,0.579353297,0.529983197
9009,CT,New Haven,0.685143412,0.646221843,0.665417895
9011,CT,New London,0.555805521,0.565903384,0.617911386
9013,CT,Tolland,0.391363023,0.372189471,0.354082108
9015,CT,Windham,0.462883593,0.493541415,0.499360987
10001,DE,Kent,0.552304557,0.519839484,0.515670311
10003,DE,New Castle,0.683989344,0.692062233,0.697454292
10005,DE,Sussex,0.756674954,0.736717044,0.783706884
11001,DC,District of Columbia,1.260212582,1.220697832,1.24758089
12001,FL,Alachua,0.707755333,0.697939846,0.790006617
12003,FL,Baker,0.507713337,0.493620899,0.441923842
12005,FL,Bay,0.771586038,0.758647059,0.712368124
12007,FL,Bradford,0.482808566,0.547289208,0.460095558
12009,FL,Brevard,0.630605512,0.635770578,0.621819613
12011,FL,Broward,0.680035353,0.6781864,0.685327036
12013,FL,Calhoun,0.517943026,0.578829318,0.542372881
12015,FL,Charlotte,0.457913314,0.465110352,0.473487798
12017,FL,Citrus,0.414765657,0.363359148,0.371346345
12019,FL,Clay,0.61406202,0.610422155,0.644591152
12021,FL,Collier,0.558279606,0.508575142,0.518081028
12023,FL,Columbia,0.574145774,0.548625549,0.548269986
12027,FL,DeSoto,0.427399134,0.339972236,0.28658222
12029,FL,Dixie,0.403469841,0.33729088,0.24263011
12031,FL,Duval,0.831722313,0.826099132,0.855624554
12033,FL,Escambia,0.614713464,0.58020129,0.581718007
12035,FL,Flagler,0.272454818,0.360175504,0.390239895
12037,FL,Franklin,0.709723208,0.620567376,0.5174198
12039,FL,Gadsden,0.321006677,0.379154906,0.411692054
12041,FL,Gilchrist,0.177325925,0.175274597,0.117619384
12043,FL,Glades,0.273547916,0.273972603,0.237435694
12045,FL,Gulf,0.634397006,0.69819105,0.631153749
12047,FL,Hamilton,0.280682057,0.548245614,0.408970077
12049,FL,Hardee,0.346836848,0.271970083,0.322731022
12051,FL,Hendry,0.431483033,0.404101632,0.537235539
12053,FL,Hernando,0.455669835,0.414639701,0.38707292
12055,FL,Highlands,0.507552379,0.455908575,0.506945149
12057,FL,Hillsborough,0.613722423,0.614899646,0.625505314
12059,FL,Holmes,0.261519954,0.157076287,0.201278116
12061,FL,Indian River,0.594713822,0.562267417,0.619177214
12063,FL,Jackson,0.674088449,0.569408993,0.608618031
12065,FL,Jefferson,0.577450556,0.5710207,0.477554919
12067,FL,Lafayette,0.24928331,0.251603975,0.22366361
12069,FL,Lake,0.430221399,0.442139056,0.405290032
12071,FL,Lee,0.562139479,0.5162649,0.495778753
12073,FL,Leon,0.829780755,0.82795788,0.816631951
12075,FL,Levy,0.515065671,0.459805349,0.448251818
12077,FL,Liberty,0.12823801,0.125266191,0
12079,FL,Madison,0.368867577,0.317443522,0.366204551
12081,FL,Manatee,0.477665933,0.499433034,0.492141027
12083,FL,Marion,0.458158944,0.465686797,0.436052194
12085,FL,Martin,0.648111475,0.686724752,0.671209194
12086,FL,Miami-Dade,0.567337269,0.571857036,0.613754841
12087,FL,Monroe,0.789975484,0.970409349,0.825741475
12089,FL,Nassau,0.642889496,0.665948764,0.633465867
12091,FL,Okaloosa,0.729640541,0.795638556,0.833869262
12093,FL,Okeechobee,0.474727032,0.472155265,0.423517688
12095,FL,Orange,0.790719968,0.786024593,0.763830856
12097,FL,Osceola,0.627218981,0.591239312,0.564883782
12099,FL,Palm Beach,0.624679753,0.621899293,0.615644101
12101,FL,Pasco,0.42648934,0.347671976,0.396606761
12103,FL,Pinellas,0.642006039,0.618252984,0.644213308
12105,FL,Polk,0.413264212,0.395952712,0.395411261
12107,FL,Putnam,0.339029021,0.411562153,0.459205035
12109,FL,St. Johns,0.597208477,0.592202138,0.571945073
12111,FL,St. Lucie,0.41464941,0.465287315,0.42442551
12113,FL,Santa Rosa,0.541444167,0.494204627,0.493173441
12115,FL,Sarasota,0.512415919,0.532770814,0.507570386
12117,FL,Seminole,0.690655094,0.682471612,0.663418582
12119,FL,Sumter,0.316320777,0.308955858,0.296656983
12121,FL,Suwannee,0.354672814,0.373608309,0.357381111
12123,FL,Taylor,0.429655798,0.373831776,0.396633026
12125,FL,Union,0.135804984,0.137136588,0.129971406
12127,FL,Volusia,0.529303144,0.552541894,0.521418582
12129,FL,Wakulla,0.297560008,0.335212555,0.35509071
12131,FL,Walton,0.740543825,0.598856728,0.645242235
12133,FL,Washington,0.480706201,0.543569159,0.561459795
13001,GA,Appling,0.558503211,0.777302759,0.814332248
13003,GA,Atkinson,0.244947949,0.486026731,0.35659099
13005,GA,Bacon,0.851950019,0.848976512,0.714094439
13007,GA,Baker,0,0,0
13009,GA,Baldwin,0.709357065,0.647430779,0.630389265
13011,GA,Banks,0.790609986,0.892910292,0.767081256
13013,GA,Barrow,0.506178353,0.457329749,0.514933059
13015,GA,Bartow,0.701058058,0.613197252,0.547694207
13017,GA,Ben Hill,1.128413451,0.967723573,0.905335823
13019,GA,Berrien,0.479328939,0.52804506,0.516208961
13021,GA,Bibb,1.026528333,0.999615532,1.163437382
13023,GA,Bleckley,0.311842208,0.388953715,0.376222724
13025,GA,Brantley,0.25916807,0.319631784,0.163336419
13027,GA,Brooks,0.183553598,0.3057356,0.251746491
13029,GA,Bryan,0.698045473,0.644982954,0.669280046
13031,GA,Bulloch,0.677588388,0.693511335,0.64488687
13033,GA,Burke,0.219077247,0.263192525,0.255275698
13035,GA,Butts,0.507528337,0.45096753,0.468005446
13037,GA,Calhoun,0.334001336,0.158579131,0.148367953
13039,GA,Camden,0.696716985,0.787124303,0.654632017
13043,GA,Candler,0.766871166,0.936329588,0.798155374
13045,GA,Carroll,0.750482453,0.784122393,0.782662672
13047,GA,Catoosa,0.624429608,0.671507769,0.635363397
13049,GA,Charlton,0.849697885,1.025641026,0.447027269
13051,GA,Chatham,0.977489581,0.883295978,0.913295819
13053,GA,Chattahoochee,0.071916577,0.069434801,0.085113627
13055,GA,Chattooga,0.558243394,0.450805815,0.466272925
13057,GA,Cherokee,0.529697386,0.51607744,0.558899792
13059,GA,Clarke,0.899019012,0.919702257,0.920370875
13061,GA,Clay,0,0.321233537,0
13063,GA,Clayton,0.6930566,0.598320352,0.676781426
13065,GA,Clinch,0.574382539,0.715512307,0.590231666
13067,GA,Cobb,0.78236172,0.720590128,0.769833977
13069,GA,Coffee,0.793001759,0.538318489,0.489921613
13071,GA,Colquitt,0.491971913,0.592157207,0.56961332
13073,GA,Columbia,0.578730284,0.540023726,0.483951542
13075,GA,Cook,0.792634595,0.782991026,0.817518248
13077,GA,Coweta,0.495948354,0.479895524,0.493716684
13079,GA,Crawford,0.318979266,0.245098039,0.159146972
13081,GA,Crisp,0.766490825,0.630346691,0.801349642
13083,GA,Dade,0.43223217,0.496062504,0.543150272
13085,GA,Dawson,0.87954819,0.84238528,0.801460439
13087,GA,Decatur,0.630627474,0.624176434,0.64996028
13089,GA,DeKalb,0.771384103,0.718611915,0.788691986
13091,GA,Dodge,0.708072021,0.607625703,0.548095369
13093,GA,Dooly,0.606796117,0.592266689,0.479879345
13095,GA,Dougherty,0.986348517,0.949310967,0.907287842
13097,GA,Douglas,0.64347994,0.616793752,0.607401297
13099,GA,Early,0.508173118,0.691562932,0.649471145
13101,GA,Echols,0,0,0
13103,GA,Effingham,0.472087808,0.429577333,0.493780268
13105,GA,Elbert,0.533643817,0.68721775,0.502866338
13107,GA,Emanuel,0.532056398,0.520043337,0.576062392
13109,GA,Evans,0.61430452,0.513039761,0.451875282
13111,GA,Fannin,0.798049213,0.871649597,0.717057533
13113,GA,Fayette,0.594715528,0.646140016,0.677280487
13115,GA,Floyd,0.830556052,0.727272727,0.708414506
13117,GA,Forsyth,0.599864873,0.601650241,0.65992081
13119,GA,Franklin,0.641231164,0.597756116,0.45737285
13121,GA,Fulton,0.974979562,0.920913639,1.036226871
13123,GA,Gilmer,0.874798796,0.826987354,0.776726451
13125,GA,Glascock,0,0,0
13127,GA,Glynn,1.030058994,1.028378027,0.982758192
13129,GA,Gordon,0.730698971,0.694288073,0.683195196
13131,GA,Grady,0.401429088,0.436733235,0.633537913
13133,GA,Greene,0.699034062,0.762243537,0.561412264
13135,GA,Gwinnett,0.770262433,0.791915532,0.786722929
13137,GA,Habersham,0.877525851,0.64201041,0.693176829
13139,GA,Hall,0.570348584,0.527316598,0.622773857
13141,GA,Hancock,0.72742388,0.542358173,0.638297872
13143,GA,Haralson,0.487668942,0.484596746,0.453942314
13145,GA,Harris,0.240450673,0.232264915,0.247946691
13147,GA,Hart,0.621813207,0.540158724,0.395178818
13149,GA,Heard,0.262605042,0.346981263,0.255449591
13151,GA,Henry,0.865323252,0.747299995,0.704089506
13153,GA,Houston,0.715966822,0.758943374,0.764286955
13155,GA,Irwin,0.200662185,0,0
13157,GA,Jackson,0.385085472,0.42490243,0.440765953
13159,GA,Jasper,0.366032211,0.2866767,0.288080663
13161,GA,Jeff Davis,0.679912367,0.43927081,0.395726157
13163,GA,Jefferson,0.610314312,0.546182789,0.659670165
13165,GA,Jenkins,0.819480215,0.591715976,0.613647521
13167,GA,Johnson,0.212449543,0.430107527,0.501253133
13169,GA,Jones,0.329924117,0.21629416,0.245476224
13171,GA,Lamar,0.472533963,0.512820513,0.439705397
13173,GA,Lanier,0.374298191,0.712335272,0.384467512
13175,GA,Laurens,0.842459983,0.869655244,0.959352646
13177,GA,Lee,0.272496064,0.232490555,0.349956255
13179,GA,Liberty,0.710250735,0.691473965,0.718094452
13181,GA,Lincoln,0.622587474,0.379122962,0.381582295
13183,GA,Long,0.17796761,0.163478829,0.19820296
13185,GA,Lowndes,0.924150814,0.954931002,0.813335121
13187,GA,Lumpkin,0.676513699,0.581226388,0.566081716
13189,GA,McDuffie,0.929108984,0.5946391,0.645965026
13191,GA,McIntosh,0.785820309,0.703111267,0.564573042
13193,GA,Macon,0.599071439,0.524895021,0.485942381
13195,GA,Madison,0.503959683,0.495891187,0.429784034
13197,GA,Marion,0.56753689,0.42887777,0.343013949
13199,GA,Meriwether,0.394944708,0.351139007,0.416338992
13201,GA,Miller,0.48669695,0.321130379,0.488519785
13205,GA,Mitchell,0.373661048,0.462184874,0.681953798
13207,GA,Monroe,0.398899039,0.432645034,0.41314554
13209,GA,Montgomery,0.33385266,0.559910414,0.661886376
13211,GA,Morgan,0.714874897,0.639624753,0.668114248
13213,GA,Murray,0.613813253,0.640063022,0.631999393
13215,GA,Muscogee,0.953845659,0.877036352,0.870653815
13217,GA,Newton,0.501363081,0.470263347,0.50588212
13219,GA,Oconee,0.952048491,0.75030012,0.719295091
13221,GA,Oglethorpe,0.286491907,0.348967058,0.136184121
13223,GA,Paulding,0.406558095,0.446379569,0.445862535
13225,GA,Peach,0.572868928,0.513818035,0.575063796
13227,GA,Pickens,0.427547195,0.479785056,0.373958865
13229,GA,Pierce,0.504173436,0.538213132,0.639318061
13231,GA,Pike,0.29081603,0.338581344,0.225339417
13233,GA,Polk,0.747943156,0.756536952,0.752226347
13235,GA,Pulaski,0.510047945,0.909366475,1.02258202
13237,GA,Putnam,0.789577576,0.439131495,0.327945655
13239,GA,Quitman,0.377500944,0,0
13241,GA,Rabun,1.026322144,0.903016074,0.983163328
13243,GA,Randolph,0.823723229,0.835654596,0.396930405
13245,GA,Richmond,0.805789522,0.730847783,0.710675539
13247,GA,Rockdale,0.794281176,0.934148447,0.781204454
13249,GA,Schley,0.96969697,0.693641618,0.597609562
13251,GA,Screven,0.465209012,0.531420221,0.487227675
13253,GA,Seminole,0.776742122,0.549813064,0.68251621
13255,GA,Spalding,0.713651358,0.587253508,0.702762638
